epoch,loss
1,3.787575668410251
2,2.2242164266736886
3,1.806394194301806
4,1.6170099691340798
5,1.5207830698866593
6,1.3916059418728477
7,1.3026400522181862
8,1.206269427349693
9,1.1442738708696867
10,1.064514098983062
11,0.9976303906817185
12,0.9332258748380762
13,0.878530314094142
14,0.8408023934615286
15,0.7762315336026644
16,0.7446967190817783
17,0.7061871007869118
18,0.6815154191694761
19,0.6372832985300767
20,0.609580082328696
21,0.5924484729766846
22,0.6767370340071226
23,0.567605114296863
24,0.5659091284400538
25,0.5348628900553051
26,0.5022068141322387
27,0.4743258858981885
28,0.460615820790592
29,0.4418555953000721
30,0.4289432960121255
31,0.4227089105468047
32,0.39444735803102193
33,0.3978205315376583
34,0.3707497206173445
35,0.3598396166374809
36,0.3564450246723075
37,0.34372573385113164
38,0.32740502608449834
39,0.3256302083793439
40,0.37579352526288284
41,0.40344940361223725
42,0.35389771743824605
43,0.32715911692694616
44,0.3103921358522616
45,0.29272336748085526
46,0.2832211499151431
47,0.27970834586181137
48,0.27422355821258143
49,0.2634313024188343
50,0.2572461256855412
